epoch,loss,val_loss,binary_accuracy,val_binary_accuracy,test_binary_accuracy,precision_1,val_precision_1,test_precision_1,recall_1,val_recall_1,test_recall_1,f1_score,val_f1_score,test_f1_score
0,0.30497533082962036,0.2812452018260956,0.8993236422538757,0.8988794088363647,0.90625,0.4539562463760376,0.47736459970474243,1.0,0.03361999988555908,0.11810000240802765,0.0625,0.06260357741055697,0.18935385656120404,0.11764705771626299
1,0.2687588930130005,0.25179433822631836,0.9019916653633118,0.9051100611686707,0.9,0.536725640296936,0.56131511926651,0.5,0.14555999636650085,0.23389999568462372,0.09375,0.2290119472203065,0.3302039909822355,0.1578947341828255
2,0.2474803775548935,0.23912197351455688,0.9067347049713135,0.9088200330734253,0.8979166,0.5793142318725586,0.5842567682266235,0.45454547,0.2460000067949295,0.3057999908924103,0.104166664,0.3453504049085316,0.4014703794216889,0.16949151967785828
3,0.22913573682308197,0.21867316961288452,0.9126424789428711,0.9155998826026917,0.89687496,0.6189902424812317,0.6302170157432556,0.44444445,0.32881999015808105,0.3774999976158142,0.125,0.4294875836620013,0.4721700962190723,0.1951219583239618
4,0.21164043247699738,0.21182817220687866,0.9187602400779724,0.9176996946334839,0.89124995,0.6527886390686035,0.6300323009490967,0.37037036,0.4007599949836731,0.42879998683929443,0.125,0.4966293169194213,0.5102939208023562,0.1869158825310001
5,0.19574356079101562,0.20355626940727234,0.9250458478927612,0.9201706051826477,0.88854164,0.6852679252624512,0.6404791474342346,0.35897437,0.46320000290870667,0.45980000495910645,0.14583333,0.5527644167067828,0.5353047212597973,0.207407398160362
6,0.17899906635284424,0.20277637243270874,0.9310022592544556,0.9211899638175964,0.8874999,0.71137535572052,0.6412478089332581,0.3653846,0.5216799974441528,0.48100000619888306,0.16964285,0.6019361414586426,0.5496828653432222,0.2317073076476818
7,0.1616949886083603,0.2053733915090561,0.938059389591217,0.9204599857330322,0.8874999,0.7443251609802246,0.6273655295372009,0.375,0.5797399878501892,0.5038999915122986,0.1875,0.6518033601374054,0.5588952837900473,0.2499999955555556
8,0.14370869100093842,0.2210080325603485,0.9447652101516724,0.9177204370498657,0.8868055,0.7717241048812866,0.6044072508811951,0.37974682,0.635699987411499,0.5128999948501587,0.20833333,0.6971388410344675,0.5549064042575238,0.269058288321019
9,0.12456938624382019,0.23411135375499725,0.9525944590568542,0.9150702357292175,0.8862499,0.8044691681861877,0.5871198773384094,0.38043478,0.694819986820221,0.5077999830245972,0.21875,0.7456350247605662,0.5445868173841865,0.2777777897212218
10,0.10571206361055374,0.24563460052013397,0.9596301317214966,0.9156601428985596,0.88806814,0.831329345703125,0.5874274373054504,0.40186915,0.7480800151824951,0.5260999798774719,0.24431819,0.7875106745840439,0.5550749005396606,0.3038869457006174
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
