epoch,loss,val_loss,binary_accuracy,val_binary_accuracy,test_binary_accuracy,precision_1,val_precision_1,test_precision_1,recall_1,val_recall_1,test_recall_1,f1_score,val_f1_score,test_f1_score
0,0.09185562282800674,0.038145460188388824,0.9700185656547546,0.9912978410720825,1.0,0.916075587272644,0.9629817605018616,1.0,0.770633339881897,0.9495000243186951,1.0,0.837083830948488,0.9561933687329752,0.999999995
1,0.018075687810778618,0.009279461577534676,0.9945138692855835,0.9971187710762024,1.0,0.9743512272834778,0.9862807989120483,1.0,0.9706000089645386,0.9848999977111816,1.0,0.9724719956454458,0.9855899096898311,0.999999995
2,0.009690627455711365,0.007563732098788023,0.9973164796829224,0.997718870639801,1.0,0.9873136878013611,0.9887955188751221,1.0,0.9857833385467529,0.9883999824523926,1.0,0.9865479146987242,0.9885977061003807,0.999999995
3,0.00566508062183857,0.007162170484662056,0.9985376596450806,0.997708797454834,0.99375,0.9930447936058044,0.9887943863868713,0.96875,0.9922999739646912,0.9883000254631042,0.96875,0.9926722390724121,0.9885471391189556,0.968749995
4,0.0034562957007437944,0.008606868796050549,0.9991950392723083,0.9973986148834229,0.98999995,0.9961816668510437,0.9872923493385315,0.95,0.9957500100135803,0.9866999983787537,0.95,0.9959657866617259,0.9869960799830049,0.949999979314567
5,0.002110900357365608,0.008038784377276897,0.999569296836853,0.9977089762687683,0.9916666,0.9979163408279419,0.9885988831520081,0.9583333,0.9977666735649109,0.9884999990463257,0.9583333,0.9978414965842402,0.9885494336263351,0.9583332998267636
6,0.0014202172169461846,0.007149787154048681,0.99969083070755,0.9978390336036682,0.9928571,0.9984832406044006,0.9893957376480103,0.96428573,0.9984166622161865,0.9890000224113464,0.96428573,0.9984499453004028,0.9891978354545461,0.9642856960402382
7,0.0008994782110676169,0.007313321810215712,0.9998337626457214,0.9979989528656006,0.99375,0.9991832971572876,0.9900979995727539,0.96875,0.9991499781608582,0.9898999929428101,0.96875,0.9991666323813025,0.9899989813571091,0.968749995
8,0.0008708889363333583,0.0073869116604328156,0.9998255372047424,0.9978888630867004,0.99444443,0.9991499781608582,0.9894989728927612,0.9722222,0.9991000294685364,0.9894000291824341,0.9722222,0.9991249981904331,0.989449493564036,0.9722221797564452
9,0.0007226386805996299,0.0069352975115180016,0.9998569488525391,0.9980791211128235,0.995,0.9993000030517578,0.9904981255531311,0.975,0.9992666840553284,0.9902999997138977,0.975,0.9992833382758052,0.9903990477249207,0.9750000347364288
10,0.00045888283057138324,0.007612516172230244,0.9999434947967529,0.998089075088501,0.99545455,0.9997333288192749,0.9905971884727478,0.97727275,0.9997000098228455,0.9902999997138977,0.97727275,0.9997166640434427,0.9904485668001017,0.9772727499958173
11,0.0004929915885441005,0.007149184588342905,0.9999003410339355,0.9982091784477234,0.99583334,0.9995166659355164,0.9910991191864014,0.9791667,0.9994833469390869,0.9909999966621399,0.9791667,0.999500001159624,0.9910495504457683,0.9791666959076321
12,0.00035127386217936873,0.006842609494924545,0.9999534487724304,0.9982492327690125,0.99615383,0.9997666478157043,0.9912991523742676,0.9807692,0.9997666478157043,0.9911999702453613,0.9807692,0.9997666428157044,0.9912495538288312,0.9807692362876975
13,0.00032435127650387585,0.008416758850216866,0.9999434947967529,0.99788898229599,0.99642855,0.9997166395187378,0.9894989728927612,0.98214287,0.9997166395187378,0.9894000291824341,0.98214287,0.9997166345187378,0.989449493564036,0.9821428683986693
14,0.0004308277275413275,0.006624456960707903,0.9999234080314636,0.998359203338623,0.99666667,0.9996166825294495,0.9918000102043152,0.98333335,0.9996166825294495,0.9918000102043152,0.98333335,0.9996166775294495,0.9918000052043152,0.9833333242923407
15,0.0002897698141168803,0.006790012586861849,0.999950110912323,0.9983691573143005,0.996875,0.999750018119812,0.9918991923332214,0.984375,0.999750018119812,0.9918000102043152,0.984375,0.999750013119812,0.9918495937892859,0.984374995
16,0.0002107104373862967,0.007672934792935848,0.9999668002128601,0.9980791807174683,0.99705887,0.999833345413208,0.9904000163078308,0.9852941,0.999833345413208,0.9904000163078308,0.9852941,0.999833340413208,0.9904000113078308,0.9852940806206822
17,0.00027591324760578573,0.006952011026442051,0.9999501705169678,0.9982290863990784,0.99722224,0.999750018119812,0.9912973642349243,0.9861111,0.999750018119812,0.9909999966621399,0.9861111,0.999750013119812,0.9911486531442415,0.9861110784075438
18,0.0003095108550041914,0.008325207978487015,0.999950110912323,0.9978590607643127,0.99736845,0.999750018119812,0.989300012588501,0.9868421,0.999750018119812,0.989300012588501,0.9868421,0.999750013119812,0.989300007588501,0.9868421121840869
19,0.00013178307563066483,0.0068138944916427135,0.9999900460243225,0.9983192086219788,0.99750006,0.9999499917030334,0.9916983246803284,0.9875,0.9999499917030334,0.9915000200271606,0.9875,0.9999499867030335,0.991599157439271,0.987499980664706
20,6.94489135639742e-05,0.007218512706458569,1.0,0.9982591867446899,0.9976191,1.0,0.991398274898529,0.9880952,1.0,0.9911999702453613,0.9880952,0.999999995,0.9912991076544707,0.9880952352496228
21,0.00017614764510653913,0.007888222113251686,0.9999667406082153,0.9980190396308899,0.99772733,0.999833345413208,0.990198016166687,0.9886364,0.999833345413208,0.9900000095367432,0.9886364,0.999833340413208,0.9900989979520423,0.9886363408234817
22,6.004410533932969e-05,0.007197905797511339,1.0,0.9982391595840454,0.9978261,1.0,0.9911999702453613,0.98913044,1.0,0.9911999702453613,0.98913044,0.999999995,0.9911999652453614,0.9891304212676596
23,5.2374900405993685e-05,0.006830771453678608,1.0,0.99849933385849,0.9979167,1.0,0.9925000071525574,0.9895833,1.0,0.9925000071525574,0.9895833,0.999999995,0.9925000021525574,0.9895832812770341
24,0.000163845150382258,0.006765778176486492,0.9999634027481079,0.998319149017334,0.998,0.9998166561126709,0.9917967319488525,0.99,0.9998166561126709,0.9914000034332275,0.99,0.9998166511126709,0.9915983230092699,0.9900000214909529
25,8.235681161750108e-05,0.006779347080737352,0.9999966621398926,0.998349130153656,0.998077,0.9999833106994629,0.9918975830078125,0.99038464,0.9999833106994629,0.991599977016449,0.99038464,0.9999833056994629,0.991748752685578,0.9903846248517619
26,5.290054832585156e-05,0.00659338291734457,1.0,0.998359203338623,0.9981482,1.0,0.9918000102043152,0.9907407,1.0,0.9918000102043152,0.9907407,0.999999995,0.9918000052043152,0.9907406883912556
27,3.7840683944523335e-05,0.006906792987138033,1.0,0.9984291791915894,0.9982143,1.0,0.9921992421150208,0.9910714,1.0,0.9921000003814697,0.9910714,0.999999995,0.9921496137665325,0.9910713693365704
28,3.030415427929256e-05,0.006191282533109188,1.0,0.9984692335128784,0.9982759,1.0,0.9924977421760559,0.9913793,1.0,0.9922000169754028,0.9913793,0.999999995,0.9923488522447991,0.991379326595179
29,0.00012343800335656852,0.007056457456201315,0.9999634027481079,0.9983491897583008,0.99833333,0.9998166561126709,0.9917991757392883,0.9916667,0.9998166561126709,0.9916999936103821,0.9916667,0.9998166511126709,0.9917495771951028,0.991666664671943
